"","","Rank & Title","IMDb Rating","Your Rating",""
"1",NA,"1.
      The Shawshank Redemption
        (1994)",9.2,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"2",NA,"2.
      The Godfather
        (1972)",9.2,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"3",NA,"3.
      The Dark Knight
        (2008)",9,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"4",NA,"4.
      The Godfather Part II
        (1974)",9,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"5",NA,"5.
      12 Angry Men
        (1957)",9,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"6",NA,"6.
      Schindler's List
        (1993)",8.9,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"7",NA,"7.
      The Lord of the Rings: The Return of the King
        (2003)",8.9,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"8",NA,"8.
      Pulp Fiction
        (1994)",8.8,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"9",NA,"9.
      The Lord of the Rings: The Fellowship of the Ring
        (2001)",8.8,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"10",NA,"10.
      Il buono, il brutto, il cattivo
        (1966)",8.8,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"11",NA,"11.
      Forrest Gump
        (1994)",8.8,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"12",NA,"12.
      Fight Club
        (1999)",8.7,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"13",NA,"13.
      Inception
        (2010)",8.7,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"14",NA,"14.
      The Lord of the Rings: The Two Towers
        (2002)",8.7,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"15",NA,"15.
      The Empire Strikes Back
        (1980)",8.7,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"16",NA,"16.
      The Matrix
        (1999)",8.7,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"17",NA,"17.
      Goodfellas
        (1990)",8.7,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"18",NA,"18.
      One Flew Over the Cuckoo's Nest
        (1975)",8.6,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"19",NA,"19.
      Se7en
        (1995)",8.6,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"20",NA,"20.
      Shichinin no samurai
        (1954)",8.6,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"21",NA,"21.
      It's a Wonderful Life
        (1946)",8.6,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"22",NA,"22.
      The Silence of the Lambs
        (1991)",8.6,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"23",NA,"23.
      Cidade de Deus
        (2002)",8.6,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"24",NA,"24.
      Saving Private Ryan
        (1998)",8.6,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"25",NA,"25.
      La vita è bella
        (1997)",8.6,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"26",NA,"26.
      Interstellar
        (2014)",8.6,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"27",NA,"27.
      The Green Mile
        (1999)",8.6,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
"28",NA,"28.
      Star Wars
        (1977)",8.6,"12345678910
        
        
            
            NOT YET RELEASED
             
            
            Seen",NA
